2025-10-29T11:14:23+01:00	feed_success_count	admin	1	supplier_catalog_feed products=0
{"ts":"2025-10-29T16:21:32+01:00","role":"supplier","message":"Error adding product","context":{"error":"SQLSTATE[23000]: Integrity constraint violation: 1452 Cannot add or update a child row: a foreign key constraint fails (`inventory_db`.`supplier_catalog`, CONSTRAINT `fk_supplier_catalog_supplier` FOREIGN KEY (`supplier_id`) REFERENCES `suppliers` (`id`) ON DELETE CASCADE ON UPDATE CASCADE)"}}
{"ts":"2025-10-29T16:22:05+01:00","role":"supplier","message":"Error adding product","context":{"error":"SQLSTATE[23000]: Integrity constraint violation: 1452 Cannot add or update a child row: a foreign key constraint fails (`inventory_db`.`supplier_catalog`, CONSTRAINT `fk_supplier_catalog_supplier` FOREIGN KEY (`supplier_id`) REFERENCES `suppliers` (`id`) ON DELETE CASCADE ON UPDATE CASCADE)"}}
2025-10-29T16:22:36+01:00	pos_products	role=admin	ordered_only=0	count=3
{"ts":"2025-10-29T16:28:37+01:00","role":"supplier","message":"Error adding product","context":{"error":"SQLSTATE[23000]: Integrity constraint violation: 1452 Cannot add or update a child row: a foreign key constraint fails (`inventory_db`.`supplier_catalog`, CONSTRAINT `fk_supplier_catalog_supplier` FOREIGN KEY (`supplier_id`) REFERENCES `suppliers` (`id`) ON DELETE CASCADE ON UPDATE CASCADE)"}}
{"ts":"2025-10-29T16:30:24+01:00","role":"supplier","message":"Error adding product","context":{"error":"SQLSTATE[23000]: Integrity constraint violation: 1452 Cannot add or update a child row: a foreign key constraint fails (`inventory_db`.`supplier_catalog`, CONSTRAINT `fk_supplier_catalog_supplier` FOREIGN KEY (`supplier_id`) REFERENCES `suppliers` (`id`) ON DELETE CASCADE ON UPDATE CASCADE)"}}
{"ts":"2025-10-29T16:32:46+01:00","role":"supplier","message":"Mirrored supplier add -> inventory","context":{"supplier_id":1,"catalog_id":216,"inventory_id":14,"sku":"aseg"}}
2025-10-29T16:34:50+01:00	pos_products	role=admin	ordered_only=0	count=4
2025-10-29T16:37:10+01:00	pos_products	role=admin	ordered_only=0	count=4
2025-10-29T16:37:25+01:00	pos_products	role=admin	ordered_only=0	count=4
2025-10-29T16:39:04+01:00	pos_products	role=admin	ordered_only=0	count=11
2025-10-30T10:37:44+01:00	pos_products	role=admin	ordered_only=0	count=11
2025-10-30T10:38:13+01:00	pos_products	role=admin	ordered_only=0	count=11
2025-10-30T10:38:28+01:00	pos_products	role=admin	ordered_only=0	count=11
2025-10-30T10:38:48+01:00	pos_products	role=admin	ordered_only=0	count=11
2025-10-30T10:40:03+01:00	pos_products	role=admin	ordered_only=0	count=11
2025-10-30T10:40:33+01:00	pos_products	role=admin	ordered_only=0	count=11
2025-10-30T10:40:45+01:00	pos_products	role=admin	ordered_only=0	count=0
2025-10-30T10:44:59+01:00	pos_products	role=admin	ordered_only=0	count=7
